Release,DescricaoRelease,Categoria,CodeSmell,Justificativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.0.5,Data Clumps,Change Preventers,Data Clumps,Um problema de dados muito grandes pode dificultar a organização e a compreensão do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ou refatoradas para melhorar a organização e a legibilidade do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Large Class,Object Orientation Abusers,Large Class,Aqui estão alguns exemplos de grandes classes que podem ser refatoradas para torná-las mais compactas e organizadas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Primitive Obsession,Change Preventers,Primitive Obsession,Um exemplo seria a implementação de métodos primitivos em classes que não são necessariamente necessárias.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Isolando dados em funções específicas pode ajudar a evitar problemas de data clump.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma possível solução seria a criação de uma função auxiliar que armazene dados únicos e facilite a manipulação dos dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,"Essencialmente, essa é uma forma de garantir que todos os dados sejam tratados de maneira uniforme e eficiente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,"Uma alternativa seria a implementação de uma estrutura de dados mais organizada, como uma lista de dados, para facilitar a leitura e a manipulação dos dados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma opção seria a criação de uma função que recebe dados e retorna uma lista de dados ordenados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma outra opção seria a implementação de uma classe de dados que mantenha a estrutura de dados e funcione como uma lista de dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma última opção seria a implementação de uma classe de dados que seja responsavel por gerenciar a estrutura de dados e funcione como uma lista de dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma opção seria a criação de uma função que recebe dados e retorna uma lista de dados ordenados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma outra opção seria a implementação de uma classe de dados que mantenha a estrutura de dados e funcione como uma lista de dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma última opção seria a implementação de uma classe de dados que seja responsavel por gerenciar a estrutura de dados e funcione como uma lista de dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma opção seria a criação de uma função que recebe dados e retorna uma lista de dados ordenados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma outra opção seria a implementação de uma classe de dados que mantenha a estrutura de dados e funcione como uma lista de dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma última opção seria a implementação de uma classe de dados que seja responsavel por gerenciar a estrutura de dados e funcione como uma lista de dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma opção seria a criação de uma função que recebe dados e retorna uma lista de dados ordenados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data Clumps,Uma outra opção seria a implementação de uma classe de dados que mantenha a estrutura de dados e funcione como uma lista de dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.30,Data Clumps,Change Preventers,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.27,v0.9.27,Bloaters,Long Method,Opcionalmente longos parâmetros e classes não são bem estruturadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.27,v0.9.27,Object Orientation Abusers,Refusal of bequest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.27,v0.9.27,Change Preventers,Divergente mudança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.27,v0.9.27,Dispensables,Comentários desnecessários,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.27,v0.9.27,Couplers,Feature enveja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.27,v0.9.27,Regras Obrigatórias,Identificação dos smells especificados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.27,v0.9.27,NENHUM,NENHUM,Nenhum code smell identificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.23,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ao longo do tempo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.23,Large Class,Object Orientation Abusers,Large Class,A combinação de métodos grandes pode tornar o código mais complexo e difícil de manter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.23,Primitive Obsession,Change Preventers,Primitive Obsession,Um código obsoluto pode causar problemas futuros e dificultar a compreensão do código,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.23,Data Clumps,Change Preventers,Data Clumps,Um código que contém muitos dados pode ser complicado para ler e entender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.17,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes que não são necessariamente responsáveis pela execução específica do programa, mas podem ser usadas para fins de testes ou debugging.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.14,v0.9.14,Bloaters,Large Class,"Opcionalmente, a classe ""Car"" tem um método chamado ""Brake"" que não está sendo utilizado em todas as instâncias, o que pode resultar em batalhas entre classes e métodos desnecessários.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.5,Long Method,Bloaters,Long Method,"Opcionalmente, há longa lista de parâmetros que não são utilizadas em todas as chamadas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.5,Large Class,Object Orientation Abusers,Large Class,A class with large number of parameters is not used in all calls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.5,Primitive Obsession,Change Preventers,Primitive Obsession,The primitive obsession occurs when there are too many primitives (primitive types or primitive values).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.5,Data Clumps,Change Preventers,Data Clumps,There are data clumps in the code that can be simplified or removed to improve readability and maintainability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.5,Data Clumps,Change Preventers,Data Clumps,There are data clumps in the code that can be simplified or removed to improve readability and maintainability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.2,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e interfaces que podem ser refatoradas para melhorar a organização e a legibilidade do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.2,Large Class,Object Orientation Abusers,Large Class,"A class too large and complex can be broken down into smaller, more manageable components.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.2,Primitive Obsession,Change Preventers,Primitive Obsession,Um código obsesivo pode causar problemas de mudança e dificuldades de manutenção ao longo do tempo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.2,Data Clumps,Change Preventers,Data Clumps,Uma lista de dados muito grande pode tornar a lógica do programa mais difícil de entender e manter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.9.2,Data Clumps,Change Preventers,Data Clumps,Uma lista de dados muito grande pode tornar a lógica do programa mais difícil de entender e manter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.26,v0.8.26,Bloaters,Long Method,Opcionalmente longa classe sem interface principal,Opcionalmente longa classe sem interface principal e não implementada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.22,v0.8.22,Bloaters,Long Method,Opcionalmente longos parâmetros e classes não são bem estruturadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.22,v0.8.22,Object Orientation Abusers,Refusal of bequest e switch statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.22,v0.8.22,Change Preventers,Divergent change e parallel inheritance hierarchies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.22,v0.8.22,Dispensables,Comments duplicados e data class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.22,v0.8.22,Couplers,Feature envy e inappropriately intimate interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.22,v0.8.22,Regras Obrigatórias,Identificação de bloaters e object orientation abusers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.22,v0.8.22,Regras Obrigatórias,Identificação de change preventers e dispensables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.22,v0.8.22,Regras Obrigatórias,Identificação de couplers e regras observasivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.18,v0.8.18,Bloaters,Large Class,"Opcionalmente, a classe ""Produto"" possui muitos atributos que não são necessários para representar seu estado atual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.18,v0.8.18,Object Orientation Abusers,Alternative Classes with Different Interfaces,"Aqui, há classes alternativas que não implementam o interface ""IProduto"", tornando-a mais difícil de se trabalhar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.18,v0.8.18,Change Preventers,Switch Statements,Um switch statement pode causar conflitos de codificação quando usado incorretamente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.18,v0.8.18,Dispensables,Comments,Existem comentários desnecessários que podem ser substituídos por docstrings ou métodos de classe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.18,v0.8.18,Couplers,Feature Envy,"Aqui, há referências ao produto que não estão sendo usadas corretamente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.18,v0.8.18,Regras obrigatórias,Diversão,"Aqui, há referências ao produto que não está sendo utilizado corretamente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.15,v0.8.15,Bloaters,Large Class,"Opcionalmente, a classe ""Car"" tem um método que retorna uma string contendo informações sobre o carro, o que não é necessário para o funcionamento do programa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$v0.8.15,Car,Bloaters,$Large Class,"$Opcionalmente, a classe ""Car"" tem um método que retorna uma string contendo informações sobre o carro, o que não é necessário para o funcionamento do programa.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.10,Long Method,Bloaters,Long Method,"Opcionalmente, há longas linhas de código que podem ser reduzidas ou refactorizadas para melhorar a legibilidade e a eficiência do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.10,Large Class,Object Orientation Abusers,Large Class,Aqui estão algumas alterações que podem ajudar a refatorar o código:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.6,v0.8.6,Bloaters,Long Method,Opcionalmente long method in class A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.6,v0.8.6,Object Orientation Abusers,Alternative Classes with Different Interfaces,Refused Bequest in class B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.6,v0.8.6,Change Preventers,Divergent Change in class C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.6,v0.8.6,Dispensables,Comments in class D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.6,v0.8.6,Couplers,Feature Envy in class E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.6,v0.8.6,Regras obrigatórias,Identificação de code smells,Nenhum code smell identificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.3,v0.8.3,Bloaters,Long Method,Opcionalmente longa classe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.3,v0.8.3,Object Orientation Abusers,Alternative Classes with Different Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.3,v0.8.3,Change Preventers,Divergent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.3,v0.8.3,Dispensables,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.8.3,v0.8.3,Couplers,Feature Envy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.16,v0.7.16,Bloaters,Long Method,Opcionalmente longa classe sem interface principal,Aqui está um exemplo de código que pode ser considerado um Bloater:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.13,v0.7.13,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ao longo do tempo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.13,v0.7.13,Object Orientation Abusers,Alternative Classes with Different Interfaces,Assevero-se que existem classes alternativas que não são necessariamente mais eficientes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.13,v0.7.13,Change Preventers,Divergent Change,A divergência entre versões pode causar problemas de integração.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.13,v0.7.13,Couplers,Feature Envy,Os objetos têm características únicas que podem ser desejadas em outras partes do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.13,v0.7.13,Regras obrigatórias,"Identificou apenas alguns pontos de atenção, mas ainda há oportunidades para melhorias.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.10,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e interfaces que podem ser refatoradas para melhorar a organização e eficiência do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.10,Large Class,Object Orientation Abusers,Large Class,Ajustes para melhorar a estrutura de classe e a organização do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.10,Primitive Obsession,Change Preventers,Primitive Obsession,Ajustes para evitar a repetição de métodos primitive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.10,Data Clumps,Change Preventers,Data Clumps,Ajustes para reduzir o tamanho de dados e torná-los mais legíveis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.10,Data Clumps,Change Preventers,Data Clumps,Ajustes para garantir que os dados sejam usados de maneira eficiente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.10,Data Clumps,Change Preventers,Data Clumps,Ajustes para garantir que os dados sejam usados de maneira eficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.6,Long Method,Bloaters,Long Method,"Opcionalmente, há longa lista de parâmetros e dados que não são relevantes para o propósito principal do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.6,Large Class,Object Orientation Abusers,Large Class,Aqui estão alguns exemplos de classes grandes e complexas que podem causar problemas de bloat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.6,Primitive Obsession,Change Preventers,Primitive Obsession,Isolamento de classes primitives pode ajudar a evitar conflitos de tipos e erros de compilação.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.6,Data Clumps,Change Preventers,Data Clumps,É possível que existam muitos valores de entrada ou saídas que não sejam necessariamente relevantes ao objetivo do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.6,Data Clumps,Change Preventers,Data Clumps,É possível que exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.3,v0.7.3,Bloaters,Long Method,"Opcionalmente long method in class ""MyClass"" is causing the code smell of Bloaters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.3,v0.7.3,Object Orientation Abusers,Alternative Classes with Different Interfaces are not recommended in this scenario.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.3,v0.7.3,Change Preventers,Parallel Inheritance Hierarchies and Shotgun Surgery can lead to complex and difficult-to-maintain code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.3,v0.7.3,Dispensables,Comments and duplicate code are common in this context.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.3,v0.7.3,Couplers,Feature Envy and Inappropriate Intimacy can cause issues in this project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.0,Long Method,Bloaters,Long Method,Opcionalmente long method que não é necessário para o propósito principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.0,Large Class,Object Orientation Abusers,Large Class,A classe grande que não serve seu propósito principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.0,Primitive Obsession,Change Preventers,Primitive Obsession,Um comportamento obsoluto que impede a mudança de código,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.0,Long Parameter List,Change Preventers,Long Parameter List,Um parâmetro muito longo que não ajuda na eficiência do código,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.7.0,Data Clumps,Change Preventers,Data Clumps,Uma coleção de dados que não faz sentido em termos de uso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Bloaters,Long Method,"Opcionalmente, há um bloco longo de métodos que podem ser reduzidos ou substituídos para melhorar a eficiência do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Object Orientation Abusers,Alternative Classes with Different Interfaces,Aqui estão algumas opções de classes alternativas que podem ser usadas para resolver esse problema sem alterar a estrutura atual do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Change Preventers,Divergent Change,Um exemplo de mudança divergente seria a implementação de uma nova classe que seja mais flexível e modular.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Dispensables,Comments,As comentários são desnecessários e podem causar confusão ao ler o código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Couplers,Feature Envy,Um exemplo de código que pode causar conflito entre diferentes funcionalidades pode ser a criação de uma classe que gere múltiplas versões do mesmo método.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Bloaters,Essa regra indica que todos os bloques de código devem ser minimizados ou substituídos para evitar problemas de bloat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Object Orientation Abusers,Essa regra sugere que todas as classes alternative devem ter interfaces diferentes para garantir a independência e a modularidade do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Change Preventers,Essa regra enfatiza a necessidade de evitar mudanças divergentes e a implementação de novos métodos quando possível.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Dispensables,Essa regra sugere a implementação de classes alternativas para resolver problemas de concorrência.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Couplers,Essa regra alerta sobre a possibilidade de conflitos entre classes e métodos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Regras Objetivas,Essa regra enfatiza a importância de identificar e corrigir problemas de bloat antes de lançar o código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Bloaters,Essa regra indica que todos os bloques de código devem ser minimizados ou substituídos para evitar problemas de bloat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Object Orientation Abusers,Essa regra sugere que todas as classes alternative devem ter interfaces diferentes para garantir a independência e a modularidade do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Change Preventers,Essa regra enfatiza a necessidade de evitar mudanças divergentes e a implementação de novos métodos quando possível.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Dispensables,Essa regra sugere a implementação de classes alternativas para resolver problemas de concorrência.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de Couplers,Essa regra alerta sobre a possibilidade de conflitos entre classes e métodos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.11,v0.6.11,Regras obrigatórias,Identificação de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.8,Long Method,Bloaters,Long Method,"Opcionalmente, há longa lista de parâmetros que não são necessárias para o método principal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.8,Large Class,Object Orientation Abusers,Large Class,A combinação de classes com interfaces diferentes pode ser desnecessária.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.8,Primitive Obsession,Change Preventers,Primitive Obsession,Um comportamento de código que se refere a substituir objetos primitive por outros tipos mais complexos pode ser prejudicial ao código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.8,Data Clumps,Change Preventers,Data Clumps,Um conjunto de dados muito grande pode ser difícil de manipular e pode causar problemas de performance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.8,Data Clumps,Change Preventers,Data Clumps,Um conjunto de dados muito grande pode ser difícil de manipular e pode causar problemas de performance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.5,v0.6.5,Bloaters,Long Method,Opcionalmente long method in class A is causing the code to become bloated and difficult to maintain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.5,v0.6.5,Object Orientation Abusers,Alternative Classes with Different Interfaces are creating unnecessary complexity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.5,v0.6.5,Change Preventers,Divergent change between classes leads to inconsistent behavior and increased complexity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.6.5,v0.6.5,Dispensables,"Comments, duplicate code, data class, dead code, lazy class, speculative generality, feature envy, inappropriate intimacy, incomplete library class, message chains, middle man.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.5.9,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes que não são necessariamente equivalentes ou que podem ser substituídas por outras classes sem alterar significativamente o comportamento original.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.5.6,Long Method,Bloaters,Long Method,Opcionalmente long method que usa muitos parâmetros e não está implementado com interfaces padrão,v0.5.6,Bloaters,Long Method,Opcionalmente long method que usa muitos parâmetros e não está implementado com interfaces padrão,v0.5.6,Data Clumps,Parallel Inheritance Hierarchies,Desconhecida estrutura de hierarquia de classes,v0.5.6,Divergent Change,Refactored to improve readability and maintainability,v0.5.6,Incomplete Library Class,Impermissível falta de implementação de métodos de classe externa,v0.5.6,Message Chains,Sintaxe de mensagem para melhorar a legibilidade,v0.5.6,Middle Man,Utilização desnecessária de métodos intermedios,v0.5.6,Feature Envy,Método inesperado utilizado sem justificativa,v0.5.6,Dead Code,Método desnecessariamente usado,v0.5.6,Lazy Class,Classe temporária utilizada sem uso eficiente,v0.5.6,Speculative Generality,Método inesperado utilizado sem justificativa
v0.5.2,v0.5.2,Bloaters,Long Method,Opcionalmente longa classe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.5.2,v0.5.2,Object Orientation Abusers,Alternative Classes with Different Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.5.2,v0.5.2,Change Preventers,Divergent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.5.2,v0.5.2,Dispensables,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.5.2,v0.5.2,Couplers,Feature Envy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.9,Long Method,Bloaters,Long Method,Opcionalmente long method que não é necessário para o propósito principal do código,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.9,Large Class,Object Orientation Abusers,Large Class,A classe grande que não tem sentido de interação com o resto do código,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.9,Primitive Obsession,Change Preventers,Primitive Obsession,Um comportamento de código que impede a mudança de forma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.9,Long Parameter List,Change Preventers,Long Parameter List,Uma lista de parâmetros muito larga que pode causar problemas de compreensão e escalabilidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.9,Data Clumps,Change Preventers,Data Clumps,Um conjunto de dados muito grandes que podem não ser facilmente manipulados ou processados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.6,v0.4.6,Bloaters,Long Method,Opcionalmente longa classe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.6,v0.4.6,Object Orientation Abusers,Alternative Classes with Different Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.6,v0.4.6,Change Preventers,Divergent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.6,v0.4.6,Dispensables,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.6,v0.4.6,Couplers,Feature Envy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.2,v0.4.2,Bloaters,Long Method,Opcionalmente long method que não é necessário para o propósito principal do código,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.2,v0.4.2,Object Orientation Abusers,Alternative Classes with Different Interfaces,Refactored classes to improve object orientation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.2,v0.4.2,Change Preventers,Divergent Change,Implemented refactoring techniques to prevent changes from diverging in functionality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.2,v0.4.2,Dispensables,Comments,Removed unnecessary comments and redundant code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.2,v0.4.2,Couplers,Feature Envy,Improved feature prioritization by focusing on new features rather than existing ones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.4.2,v0.4.2,Regras obrigatórias,Identified code smells,"Identified Bloaters (long method), Object Orientation Abusers (alternative classes with different interfaces), Change Preventers (divergent change), Dispensables (comments)",Identified Couplers (feature envy).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.3.9,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes que não são necessariamente responsáveis pelo comportamento específico do código, mas podem ser consideradas batorias devido à complexidade e desigualdade de seus métodos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
